Price,Name,Location,Link
"$9,000","2006 Honda Accord for Sale!","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/edison-2006-honda-accord-for-sale/7260477124.html
"$3,500","International School Bus","MIDDLESEX COUNTY",https://cnj.craigslist.org/cto/d/middlesex-international-school-bus/7260473518.html
"$10,000","1986 Chevrolet El Camino","SOUTH BRUNSWICK TWP.",https://cnj.craigslist.org/cto/d/kendall-park-1986-chevrolet-el-camino/7260470013.html
"$7,000","2011 HONDA CIVIC LX SEDAN 4D","SOMERSET, NJ",https://cnj.craigslist.org/cto/d/somerset-2011-honda-civic-lx-sedan-4d/7260466703.html
"$3,500","1999 Honda Civic Hatchback","PRINCETON",https://cnj.craigslist.org/cto/d/princeton-1999-honda-civic-hatchback/7260465444.html
"$24,000","2017 ACURA MDX SH-AWD - PMTS. STARTING @ $59/WEEK","+ FAST TRACK MOTORS",https://cnj.craigslist.org/ctd/d/paterson-2017-acura-mdx-sh-awd-pmts/7260465146.html
"$4,500","2008 BMW 535XI","SCOTCH PLAINS",https://cnj.craigslist.org/cto/d/scotch-plains-2008-bmw-535xi/7260462649.html
"$10,000","Jeep Cherokee xj","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/jackson-jeep-cherokee-xj/7260461609.html
"$9,000","2013 HONDA CRV EX-L","KEYPORT NJ",https://cnj.craigslist.org/cto/d/keyport-2013-honda-crv-ex/7260446197.html
"$3,000","Fiat 500 sport","FAIRVIWE",https://cnj.craigslist.org/cto/d/fairview-fiat-500-sport/7260434547.html
"$4,700","2002 JAGUAR X TYPE AWD >LOW MILES<","MATAWAN NJ",https://cnj.craigslist.org/cto/d/2002-jaguar-type-awd-low-miles/7260433432.html
"$10,000","we are paying cash on spot, for your Damaged vehicles Running Or Not","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/union-we-are-paying-cash-on-spot-for/7260427164.html
"$19,000","2017 TOYOTA CAMRY LX  SILVER WHITH ONLY 11k MILAGE.","PRINCETON",https://cnj.craigslist.org/cto/d/princeton-2017-toyota-camry-lx-silver/7260424246.html
"$19,000","2018 TOYOTA CAMRY SE WITH ONLY 33K MILES","PRINCETON",https://cnj.craigslist.org/cto/d/princeton-2018-toyota-camry-se-with/7260423570.html
"$25,000","2017 SUBARU OUTBACK LIMITED ALMOST BRAND NEW ONLY 23K MILEAGES","PRINCETON",https://cnj.craigslist.org/cto/d/princeton-2017-subaru-outback-limited/7260422382.html
"$3,700","Dump truck","SCOTCH PLAINS",https://cnj.craigslist.org/cto/d/fanwood-dump-truck/7260414136.html
"$30,000","2017 *Land Rover* *Discovery Sport* *HSE Luxury* Bla","NO LOCATION PROVIDED",https://cnj.craigslist.org/ctd/d/asbury-park-2017-land-rover-discovery/7260403655.html
"$6,000","2012 TOYOTA PRIUS HYBRID","SOMERSET",https://cnj.craigslist.org/cto/d/somerset-2012-toyota-prius-hybrid/7260403096.html
"$0","2019 Cadillac XT5 Platinum 4x4 4dr SUV -$500 Down Drive Today","+ NASA AUTO GROUP LLC - NO CREDIT NEEDED",https://cnj.craigslist.org/ctd/d/passaic-2019-cadillac-xt5-platinum-4x4/7260401350.html
"$4,900","2010 SCION XB","SOMERSET",https://cnj.craigslist.org/cto/d/somerset-2010-scion-xb/7260397263.html
"$26,000","2016 MERCEDES-BENZ GLC 300 4MATIC - PMTS. STARTING @ $59/WEEK","+ FAST TRACK MOTORS",https://cnj.craigslist.org/ctd/d/paterson-2016-mercedes-benz-glc-300/7260396824.html
"$3,800","2006 Toyota Sienna","SOUTH PLAINFIELD",https://cnj.craigslist.org/cto/d/south-plainfield-2006-toyota-sienna/7260394499.html
"$3,500","2010 Nissan Altima","PERTH AMBOY",https://cnj.craigslist.org/cto/d/perth-amboy-2010-nissan-altima/7260389715.html
"$1,500","1999 Ford Taurus","PLAINFIELD",https://cnj.craigslist.org/cto/d/plainfield-1999-ford-taurus/7260389039.html
"$33,000","2016 *Toyota* *4Runner* *4WD 4dr V6 Limited* Gray","NO LOCATION PROVIDED",https://cnj.craigslist.org/ctd/d/asbury-park-2016-toyota-4runner-4wd-4dr/7260361046.html
"$31,000","2018 RAM ProMaster Cargo 2500 159 WB 3dr High Roof Cargo Van -FINANCING AVAILABL","+ GAVEN AUTO GROUP",https://cnj.craigslist.org/ctd/d/kenvil-2018-ram-promaster-cargo-wb-3dr/7260360854.html
"$1,500","2006 Acura MDX","HILLSBOROUGH",https://cnj.craigslist.org/cto/d/2006-acura-mdx/7260360724.html
"$6,900","2008 GMC Acadia SLT 2 AWD 4dr SUV","GMC ACADIA SUV",https://cnj.craigslist.org/ctd/d/trenton-2008-gmc-acadia-slt-awd-4dr-suv/7260357527.html
"$5,200","2012 Subaru Forester 2.5X AWD 4dr Wagon 4A","SUBARU FORESTER SUV",https://cnj.craigslist.org/ctd/d/trenton-2012-subaru-forester-25x-awd/7260357239.html
"$29,000","2018 Ford Transit Cargo 150 3dr SWB Low Roof Cargo Van w/Sliding Passenger Side","+ GAVEN AUTO GROUP",https://cnj.craigslist.org/ctd/d/kenvil-2018-ford-transit-cargo-150-3dr/7260356766.html
"$9,500","2011 BMW X5 xDrive35i Sport Activity AWD 4dr SUV","EAST BRUNSWICK, NJ",https://cnj.craigslist.org/ctd/d/spotswood-2011-bmw-x5-xdrive35i-sport/7260356711.html
"$6,400","2010 Honda Civic LX 4dr Sedan 5A","EAST BRUNSWICK, NJ",https://cnj.craigslist.org/ctd/d/spotswood-2010-honda-civic-lx-4dr-sedan/7260356466.html
"$32,000","2016 Ford Transit Cargo 150 3dr SWB Medium Roof Cargo Van w/Sliding Passenger Si","+ GAVEN AUTO GROUP",https://cnj.craigslist.org/ctd/d/kenvil-2016-ford-transit-cargo-150-3dr/7260356398.html
"$18,000","2011 Chevrolet Chevy Express Cargo 1500 AWD 3dr Cargo Van -FINANCING AVAILABLE!!","+ GAVEN AUTO GROUP",https://cnj.craigslist.org/ctd/d/kenvil-2011-chevrolet-chevy-express/7260356123.html
"$33,000","2016 Ford Transit Cargo 150 3dr LWB Medium Roof Cargo Van w/Sliding Passenger Si","+ GAVEN AUTO GROUP",https://cnj.craigslist.org/ctd/d/kenvil-2016-ford-transit-cargo-150-3dr/7260355933.html
"$650","2000 toyota camry 4cyl","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/parlin-2000-toyota-camry-4cyl/7260348290.html
"$9,800","2013 Chevrolet Traverse LT Sport Utility 4D","_CHEVROLET_ _TRAVERSE_ _SUV_",https://cnj.craigslist.org/ctd/d/cliffwood-2013-chevrolet-traverse-lt/7260336182.html
"$6,000","2008 Ford Taurus SEL","UNION NJ",https://cnj.craigslist.org/ctd/d/kenilworth-2008-ford-taurus-sel/7260336141.html
"$18,000","2016 Toyota Tacoma SR5 Access Cab I4 6AT 2WD","OLD BRIDGE, NJ 08857",https://cnj.craigslist.org/ctd/d/spotswood-2016-toyota-tacoma-sr5-access/7260335670.html
"$11,000","2009 Ford Econoline E-150","OLD BRIDGE, NJ 08857",https://cnj.craigslist.org/ctd/d/spotswood-2009-ford-econoline-150/7260335482.html
"$19,000","2014 Ford Econoline E-350 Super Duty Extended","OLD BRIDGE, NJ 08857",https://cnj.craigslist.org/ctd/d/spotswood-2014-ford-econoline-350-super/7260335385.html
"$4,000","2007 Toyota Sienna CE FWD 7-Passenger","OLD BRIDGE, NJ 08857",https://cnj.craigslist.org/ctd/d/spotswood-2007-toyota-sienna-ce-fwd/7260335136.html
"$16,000","2012 Chevrolet Express LS 3500 Extended- 15 Passenger/Cargo","OLD BRIDGE, NJ 08857",https://cnj.craigslist.org/ctd/d/spotswood-2012-chevrolet-express-ls/7260335087.html
"$17,000","2015 Ford Transit 250 Van Low Roof 60/40 Pass.130-in. WB","OLD BRIDGE, NJ 08857",https://cnj.craigslist.org/ctd/d/spotswood-2015-ford-transit-250-van-low/7260334920.html
"$10,000","2014 Ford Transit Connect XLT LWB","OLD BRIDGE, NJ 08857",https://cnj.craigslist.org/ctd/d/spotswood-2014-ford-transit-connect-xlt/7260334782.html
"$15,000","2015 RAM Promaster 1500 Low Roof Tradesman 136-in. WB","OLD BRIDGE, NJ 08857",https://cnj.craigslist.org/ctd/d/spotswood-2015-ram-promaster-1500-low/7260334731.html
"$26,000","2017 RAM 1500 SLT - PMTS. STARTING @ $59/WEEK","+ FAST TRACK MOTORS",https://cnj.craigslist.org/ctd/d/paterson-2017-ram-1500-slt-pmts/7260329202.html
"$7,900","2016 Volkswagen Jetta Sedan 1.8T Sport","NEW BRUNSWICK",https://cnj.craigslist.org/cto/d/new-brunswick-2016-volkswagen-jetta/7260323457.html
"$5,900","2009 Honda Accord Sedan LX","NEW BRUNSWICK",https://cnj.craigslist.org/cto/d/new-brunswick-2009-honda-accord-sedan-lx/7260322122.html
"$3,800","2004/2005/2006 School Vans For Sale","TRENTON",https://cnj.craigslist.org/cto/d/trenton-school-vans-for-sale/7260312007.html
"$4,000","2005 New Jersey School Buses for Sale","WOODBRIDGE",https://cnj.craigslist.org/cto/d/iselin-2005-new-jersey-school-buses-for/7260311317.html
"$0","White Ford E-450's for sale","TRENTON",https://cnj.craigslist.org/cto/d/trenton-white-ford-450s-for-sale/7260308165.html
"$0","2020 Honda Accord Touring 4dr Sedan -$500 Down Drive Today","+ NASA AUTO GROUP LLC - NO CREDIT NEEDED",https://cnj.craigslist.org/ctd/d/passaic-2020-honda-accord-touring-4dr/7260299608.html
"$5,500","1996 4x4 ford f250 with plow","JAMESBURG NJ",https://cnj.craigslist.org/cto/d/monroe-township-x4-ford-f250-with-plow/7260295547.html
"$3,500","2004 Chevy Impala","MATAWAN",https://cnj.craigslist.org/cto/d/matawan-2004-chevy-impala/7260295284.html
"$1,900","WHAT ARE WAITING FOR DOESN'T GET BETTER THAN THIS","RARITAN",https://cnj.craigslist.org/cto/d/raritan-what-are-waiting-for-doesnt-get/7260289303.html
"$0","BUY IT FOR WHOLESALE","SOMERSET COUNTY",https://cnj.craigslist.org/cto/d/raritan-buy-it-for-wholesale/7260286132.html
"$11,000","2012 Acura TL 6-Speed AT SH-AWD with Tech Package and HPT","UNION NJ",https://cnj.craigslist.org/ctd/d/kenilworth-2012-acura-tl-speed-at-sh/7260285803.html
"$16,000","2018 Chevrolet Chevy Malibu LT","OCEAN, NJ",https://cnj.craigslist.org/ctd/d/asbury-park-2018-chevrolet-chevy-malibu/7260278363.html
"$11,000","2019 Hyundai Accent SE","HAMILTON SQUARE, NJ",https://cnj.craigslist.org/ctd/d/trenton-2019-hyundai-accent-se/7260275207.html
"$4,500","Jeep Liberty","TRENTON NEW JERSEY",https://cnj.craigslist.org/cto/d/trenton-jeep-liberty/7260271293.html
"$7,000","2013 Ford F150","SCOTCHPLAINS",https://cnj.craigslist.org/cto/d/scotch-plains-2013-ford-f150/7260271119.html
"$9,000","2009 BMW X5 XDRIVE30I - PMTS. STARTING @ $59/WEEK","+ FAST TRACK MOTORS",https://cnj.craigslist.org/ctd/d/paterson-2009-bmw-x5-xdrive30i-pmts/7260270756.html
"$16,000","2011 Audi TTS Quattro  Prestige Convertible","JOBSTOWN",https://cnj.craigslist.org/cto/d/jobstown-2011-audi-tts-quattro-prestige/7260270328.html
"$2,000","*** 1998 SUBURBAN LS ***","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/watchung-suburban-ls/7260269280.html
"$28,000","Audi Q7","CRANBURY",https://cnj.craigslist.org/cto/d/cranbury-audi-q7/7260267212.html
"$2,700","LOOK!!! WE HAVE CARS $2700. AND UNDER!!!!! CHECK IT OUT!!!!","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/iselin-look-we-have-cars-2700-and-under/7260263967.html
"$3,900","2005 CHEVY IMPALA SENIOR DRIVEN 99K MILES","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/iselin-2005-chevy-impala-senior-driven/7260262794.html
"$2,900","2009 MERCURY MILAN PREMIER LEATHER,MOONROOF LOADED!!!!!","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/iselin-2009-mercury-milan-premier/7260259960.html
"$9,700","2013 FORD EXPLORER! 732-915-0962  4X4 THIRD ROW","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/iselin-2013-ford-explorer-x4-third-row/7260258185.html
"$7,600","2012 Toyota RAV 4","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/monroe-township-2012-toyota-rav/7260257850.html
"$10,000","2017 Ford Escape SE Sport Utility 4D","+ AUTOSHOW LLC",https://cnj.craigslist.org/ctd/d/new-brunswick-2017-ford-escape-se-sport/7260257664.html
"$7,000","2013 Ford Escape SE Sport Utility 4D","+ AUTOSHOW LLC",https://cnj.craigslist.org/ctd/d/new-brunswick-2013-ford-escape-se-sport/7260257565.html
"$10,000","2015 Toyota Camry LE Sedan 4D","+ AUTOSHOW LLC",https://cnj.craigslist.org/ctd/d/new-brunswick-2015-toyota-camry-le/7260257503.html
"$14,000","2017 Jeep Renegade Trailhawk Sport Utility 4D","+ AUTOSHOW LLC",https://cnj.craigslist.org/ctd/d/new-brunswick-2017-jeep-renegade/7260257425.html
"$4,500","2008 JEEP LIBERTY 4X4 RUNS EXCELLENT VERY CLEAN!!!!","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/iselin-2008-jeep-liberty-4x4-runs/7260257167.html
"$4,200","2002 Lexus ES 300 Base 4dr Sedan","LEXUS ES 300 SEDAN",https://cnj.craigslist.org/ctd/d/trenton-2002-lexus-es-300-base-4dr-sedan/7260254797.html
"$4,500","2004 S10 CHEVY 4X4 CREW CAB RUNS PERFECT ALL LEATHER","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/iselin-2004-s10-chevy-4x4-crew-cab-runs/7260254757.html
"$2,900","2003 INFINITI I35 Base 4dr Sedan","INFINITI I35 SEDAN",https://cnj.craigslist.org/ctd/d/trenton-2003-infiniti-i35-base-4dr-sedan/7260254671.html
"$15,000","*2016* *Nissan* *Rogue* *SV*","_NISSAN_ _ROGUE_ _SUV_",https://cnj.craigslist.org/ctd/d/lawrence-township-2016-nissan-rogue-sv/7260253709.html
"$3,000","2010 NISSAN VERSA RUNS EXCELLENT NEEDS NOTHING!!!!!","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/iselin-2010-nissan-versa-runs-excellent/7260252714.html
"$5","PAYING THE MOST FOR ANY JUNK CAR TRUCK OR VAN WITH OR WITHOUT TITLES","JERSEY",https://cnj.craigslist.org/cto/d/jackson-paying-the-most-for-any-junk/7260250798.html
"$3,000","2002 Jeep Liberty Sport","NEW BRUNSWICK, NJ",https://cnj.craigslist.org/ctd/d/new-brunswick-2002-jeep-liberty-sport/7260249588.html
"$6,500","2007 Ford Explorer Eddie Bauer 4dr SUV 4WD (V6)","EAST BRUNSWICK, NJ",https://cnj.craigslist.org/ctd/d/spotswood-2007-ford-explorer-eddie/7260243688.html
"$7,700","2013 Mini Cooper Hardtop Cooper 2dr Hatchback","EAST BRUNSWICK, NJ",https://cnj.craigslist.org/ctd/d/spotswood-2013-mini-cooper-hardtop/7260243580.html
"$4,600","2005 Dodge Dakota SLT 4dr Quad Cab 4WD SB","EAST BRUNSWICK, NJ",https://cnj.craigslist.org/ctd/d/spotswood-2005-dodge-dakota-slt-4dr/7260243484.html
"$3,900","2008 Chevy Trailblazer","HOPEWELL",https://cnj.craigslist.org/cto/d/hopewell-2008-chevy-trailblazer/7260239274.html
"$1,200","2003 Jeep Liberty Sport","EAST AMWELL",https://cnj.craigslist.org/cto/d/hopewell-2003-jeep-liberty-sport/7260225863.html
"$10,000","we are paying cash on spot for your car call now","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/we-are-paying-cash-on-spot-for-your-car/7260219226.html
"$10,000","CASH CASH CASH   WE BUY ANY CONDITION PLEASE CALL 9083972901","NO LOCATION PROVIDED",https://cnj.craigslist.org/ctd/d/springfield-cash-cash-cash-we-buy-any/7260218236.html
"$14,000","2013 Nissan Frontier SV # 36364","TOMS RIVER",https://cnj.craigslist.org/ctd/d/toms-river-2013-nissan-frontier-sv/7260214215.html
"$16,000","2010 Honda Ridgeline RTL #   10749","TOMS RIVER",https://cnj.craigslist.org/ctd/d/toms-river-2010-honda-ridgeline-rtl/7260214166.html
"$2,500","2006 Honda Accord EX-L","CLIFTON",https://cnj.craigslist.org/cto/d/clifton-2006-honda-accord-ex/7260212167.html
"$6,900","2012 Honda Civic EX Coupe 2D, 120k, Auto, Excellent running condition","DAYTON, NJ",https://cnj.craigslist.org/cto/d/dayton-2012-honda-civic-ex-coupe-2d/7260193862.html
"$17,000","2012 GMC Sierra 2500 HD 4x4","WESTAMPTON",https://cnj.craigslist.org/cto/d/mount-holly-2012-gmc-sierra-2500-hd-4x4/7260190522.html
"$5,000","Clean 2008 Toyota Sienna - 152k miles","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/old-bridge-clean-2008-toyota-sienna/7260172682.html
"$2,800","RANGER 2010 FOR SALE","LAWRENCEVILLE",https://cnj.craigslist.org/cto/d/trenton-ranger-2010-for-sale/7260164052.html
